date;heure;dept;com;adresse;carr;segm;lieu_1_nomv;lieu_2_nomv;vehicule_1_cadmin;vehicule_1_lveh;vehicle_2_cadmin;vehicule_2_lveh;vehicule_3_cadmin;vehicule_3_lveh;usager_1_catu;usager_1_grav;usager_1_lveh;usager_2_catu;usager_2_grav;usager_2_lveh;usager_3_catu;usager_3_grav;usager_3_lveh;usager_4_catu;usager_4_grav;usager_4_lveh
2013-04-15;13:25;75;103;91, RUE BEAUBOURG;1_75103_7632;;RUE BEAUBOURG;RUE DES GRAVILLIERS;Bicy;A;VL;B;;;Cond;BL;A;Cond;Indem;B;;;;;;
2012-06-22;18:15;75;103;67, RUE DU TEMPLE;1_75103_7634;;RUE DU TEMPLE;RUE RAMBUTEAU;Bicy;A;;;;;Cond;BL;A;Piéto;BL;A;;;;;;
2012-12-11;18:10;75;103;332, RUE SAINT MARTIN;1_75103_7687;;RUE SAINT MARTIN;BOULEVARD SAINT MARTIN;Bicy;A;Bus;B;;;Cond;BL;A;Cond;Indem;B;;;;;;
2013-12-17;12:05;75;103;57, RUE DE TURBIGO;1_75103_7699;;RUE DE TURBIGO;RUE VAUCANSON;Scoo50-125;A;;;;;Cond;Indem;A;Piéto;BL;A;;;;;;
2012-11-07;19:50;75;103;13, RUE VOLTA;1_75103_7846;;RUE VOLTA;RUE REAUMUR;Scoo50-125;A;VL;B;;;Cond;Indem;A;Pass;BL;A;Cond;Indem;B;;;
2012-06-09;11:55;75;103;21, RUE REAUMUR;1_75103_7846;;RUE REAUMUR;RUE VOLTA;Moto>125;A;;;;;Cond;BL;A;;;;;;;;;
2013-02-10;09:30;75;103;63, RUE DE TURBIGO;1_75103_7869;;RUE DE TURBIGO;RUE VOLTA;VU;A;Bicy;B;VL;C;Cond;Indem;A;Cond;BL;B;Cond;Indem;C;;;
2013-03-06;14:55;75;103;04, RUE CHAPON;1_75103_7893;;RUE CHAPON;RUE DU TEMPLE;VU;A;;;;;Cond;Indem;A;Piéto;BL;A;;;;;;
2013-06-29;13:00;75;103;62, RUE DES ARCHIVES;1_75103_7931;;RUE DES ARCHIVES;RUE DES QUATRE FILS;Moto>125;A;VL;B;;;Cond;BL;A;Cond;Indem;B;;;;;;
2012-11-19;11:15;75;103;70, RUE DE TURBIGO;1_75103_8083;;RUE DE TURBIGO;RUE SAINTE ELISABETH;Scoo50-125;A;Scoo50-125;B;;;Cond;BL;A;Cond;Indem;B;;;;;;
2013-09-30;02:58;75;103;72, RUE DE TURBIGO;1_75103_8135;;RUE DE TURBIGO;RUE DU VERTBOIS;VL;A;VL;B;;;Cond;Indem;A;Cond;BL;B;;;;;;
2012-05-23;14:15;75;103;86, RUE VIEILLE DU TEMPL;1_75103_8161;;RUE VIEILLE DU TEMPLE;RUE DE LA PERLE;Moto50-125;A;;;;;Cond;BL;A;Troll;BL;A;;;;;;
2012-05-25;18:50;75;103;160, RUE DU TEMPLE;1_75103_8167;;RUE DU TEMPLE;RUE DUPETIT THOUARS;VL;A;Moto>125;B;;;Cond;Indem;A;Cond;BL;B;;;;;;
2012-04-11;18:05;75;103;55, RUE DE BRETAGNE;1_75103_8183;;RUE DE BRETAGNE;RUE DES ARCHIVES;VL;A;;;;;Cond;Indem;A;Piéto;BL;A;;;;;;
2012-09-20;05:15;75;103;RUE DES FRANCS BOURGEOIS;1_75103_8247;;RUE DES FRANCS BOURGEOIS;RUE PAYENNE;VU;A;VL;B;;;Cond;BL;A;Cond;Indem;B;;;;;;
2012-03-18;22:35;75;103;89, RUE DE TURBIGO;1_75103_8251;;RUE DE TURBIGO;RUE DU TEMPLE;VL;A;Cyclo;B;;;Cond;Indem;A;Cond;BL;B;;;;;;
2012-07-06;14:15;75;103;201, RUE DU TEMPLE;1_75103_8287;;RUE DU TEMPLE;RUE NOTRE DAME DE NAZARETH;Moto>125;A;VL;B;;;Cond;Indem;A;Cond;Indem;B;Pass;BL;B;;;
2012-10-25;12:50;75;103;PLACE DE LA REPUBLIQUE;1_75103_8290;;PLACE DE LA REPUBLIQUE;BOULEVARD SAINT MARTIN;Cyclo;A;VL;B;;;Cond;BL;A;Cond;Indem;B;;;;;;
2012-12-28;15:00;75;103;21, PLACE DE LA REPUBLIQ;1_75103_8290;;PLACE DE LA REPUBLIQUE;BOULEVARD SAINT MARTIN;VL;A;Bicy;B;;;Cond;Indem;A;Cond;BL;B;;;;;;
2013-08-16;16:50;75;103;23, PLACE DE LA REPUBLIQ;1_75103_8290;;PLACE DE LA REPUBLIQUE;BOULEVARD SAINT MARTIN;Cyclo;A;;;;;Cond;BL;A;;;;;;;;;
2013-04-29;18:35;75;103;19, RUE DE BRETAGNE;1_75103_8389;;RUE DE BRETAGNE;RUE DE SAINTONGE;Bicy;A;VU;B;;;Cond;BL;A;Cond;Indem;B;;;;;;
2012-03-04;12:55;75;103;13, PLACE DE LA REPUBLIQ;1_75103_8400;;PLACE DE LA REPUBLIQUE;RUE DU TEMPLE;Moto>125;A;VU;B;;;Cond;BL;A;Cond;Indem;B;;;;;;
2012-04-21;20:30;75;103;RUE DU TEMPLE;1_75103_8400;;PLACE DE LA REPUBLIQUE;RUE DU TEMPLE;Moto>125;A;;;;;Cond;BL;A;Pass;BL;A;;;;;;
2013-09-10;08:40;75;103;15, PLACE DE LA REPUBLIQ;1_75103_8400;;PLACE DE LA REPUBLIQUE;RUE DU TEMPLE;Bicy;A;VL;B;;;Cond;BL;A;Cond;Indem;B;;;;;;
2012-03-23;17:45;75;103;70, RUE DE TURENNE;1_75103_8500;;RUE DE TURENNE;RUE SAINT CLAUDE;Cyclo;A;Bicy;B;;;Cond;Indem;A;Cond;BL;B;;;;;;
2012-07-07;16:25;75;103;95, RUE DE TURENNE;1_75103_8502;;RUE DE TURENNE;RUE DE POITOU;Scoo50-125;A;VL;B;;;Cond;BL;A;Cond;Indem;B;;;;;;
2012-05-06;13:30;75;103;03, RUE BERANGER;1_75103_8509;;RUE BERANGER;RUE CHARLOT;Bicy;A;;;;;Cond;Indem;A;Piéto;BL;A;;;;;;
